uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,population,urban,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
254,4.82E+11,Bellaire High School,4823640,Houston ISD,1/14/2020,2019-2020,2020,4:00 PM,Tuesday,"Bellaire, Texas",Texas,"17,202",N,public,3487,1,0,1,accidental,16,m,,student,0,,,,,,,,722,695,1520,469,8,3,70,0,.32 caliber semi-automatic pistol,,29.692163,-95.469159,203.32,9,12,1665,Harris County,48,48201,21
255,62922009598,McAuliffe Elementary School,629220,Oxnard,1/23/2020,2019-2020,2020,11:30 AM,Thursday,"Oxnard, California",California,"202,063",Y,public,698,0,1,1,indiscriminate,,,,,,,,,,,,,77,16,554,31,1,1,18,0,,,34.1876,-119.2135,32,KG,12,374,Ventura County,6,6111,12
256,4.90E+11,West High School,4900870,Salt Lake District,2/13/2020,2019-2020,2020,3:00 PM,Thursday,Salt Lake City,Utah,"199,723",N,public,2703,0,0,0,targeted,,,,student,,,,,,,,,966,127,1137,229,25,101,118,0,,,40.774742,-111.900444,111.84,7,12,1483,Salt Lake County,49,49035,12
257,60285000207,Antioch High School,602850,Antioch Unified,2/19/2020,2019-2020,2020,9:30 AM,Wednesday,Antioch,California,#FIELD!,N,public,2061,0,0,0,targeted,15,m,,,,,,,,,,,319,421,1092,103,14,32,80,0,,,38.0063,-121.8163,87.84,9,12,1460,Contra Costa County,6,6013,21
258,3.50E+11,Cesar Chavez Community School,3500117,Cesar Chavez Community School,2/21/2020,2019-2020,2020,11:00 AM,Friday,"Albuquerque, New Mexico",New Mexico,"564,559",Y,public,203,0,0,0,unclear,,,,,,,,,,,,,13,7,154,0,26,0,3,0,,,35.059669,-106.583882,11.36,9,12,203,Bernalillo County,35,35001,11
259,A1592044,Sagemont School,,,3/5/2020,2019-2020,2020,12:00 PM,Thursday,"Weston, Florida",Florida,"68,107",N,private,651,0,1,1,accidental,55,m,b,security guard,0,,,,,,,,,,,,,,,0,,,26.13796,-80.424081,46,PK,12,,Broward County,12,12011,21
260,1.20E+11,Ribault High School,1200480,Duval,10/9/2020,2020-2021,2020,2:00 PM,Friday,"Jacksonville, Florida",Florida,"949,611",N,public,1383,0,1,1,accidental,18,,,,0,,,,,,,,30,1318,11,3,0,0,21,0,.380-caliber handgun,,30.3906,-81.7073,68,9,12,884,Duval County,12,12031,11
261,3.70E+11,Lincoln Elementary School,3700420,Brunswick County Schools,11/13/2020,2020-2021,2020,2:00 PM,Friday,"Leland, North Carolina",North Carolina,"22,908",N,public,594,0,1,1,accidental,,,,,0,,,,,,,,258,118,156,0,8,0,54,0,,,34.2618,-78.0429,40,PK,5,495,Brunswick County,37,37019,22
262,3.70E+11,Hendersonville Middle School,3702100,Henderson County Schools,11/24/2020,2020-2021,2020,7:45 AM,Tuesday,"Hendersonville, North Carolina",North Carolina,"15,137",Y,public,561,0,1,1,accidental,12,m,,,0,,,,,,,,357,54,109,7,0,4,30,0,,,35.3219,-82.473,41,6,8,254,Handerson County,37,37089,21
263,51393001212,Watson Chapel Junior High,513930,Watson Chapel School District,3/1/2021,2020-2021,2021,9:55 AM,Monday,"Pine Bluff, Arkansas",Arkansas,"41,253",Y,public,615,1,0,1,targeted,15,m,b,,,,,,,,,,91,498,12,11,0,0,3,0,handgun,,34.189927,-92.065921,43.53,7,9,488,Jefferson County,5,5069,41
267,3.63E+11,Wayne Central Middle School,3630330,Wayne Central School District,3/1/2021,2020-2021,2021,9:40 AM,Monday,Ontario,New York,"14,733,119",Y,public,693,0,1,1,targeted,19,m,w,employee,,,,,,,,,640,13,23,6,0,0,11,0,Smith and Wesson M&P .45 caliber handgun,SRO,43.2197,-77.3036,67.09,5,8,268,Wayne County,36,36117,21
268,,Achievement First Amistad High School,,,3/4/2021,2020-2021,2021,8:10 AM,Thursday,"New Haven, Connecticut",Connecticut,"134,023",N,private,520,0,0,0,unclear,,,,,,,,,,,,,,,,,,,,0,,,41.32981839,-72.9357119,,,,,,9,9009,
264,4.50E+11,Edwards Elementary School,4501560,Chesterfield 01,3/8/2021,2020-2021,2021,1:30 PM,Monday,Chesterfield,South Carolina,#FIELD!,N,public,503,0,1,1,targeted,54,,,,,,,,,,,,307,160,2,3,0,0,31,0,,,34.737634,-80.11771,36,PK,5,503,Chesterfield County,45,45025,42
269,1060127,Bishop Hartley High School,,,3/9/2021,2020-2021,2021,8:50 AM,Tuesday,"Columbus, Ohio",Ohio,"905,748",Y,private,679,0,0,0,unclear,,,,,,,,,,,,,404,190,29,10,0,0,46,0,,,39.94497,-82.910821,47.3,9,12,,Franklin County,39,39049,11
266,10297001160,Selma High School,102970,Selma City Schools,4/1/2021,2020-2021,2021,1:00 PM,Thursday,"Selma, Alabama",Alabama,"17,971",N,public,777,0,0,0,targeted,15,m,b,,,,,,,,,,2,771,1,1,0,1,1,0,handgun,,32.428416,-87.022637,39,7,12,662,Dallas County,1,1047,32
